Território;Nome do território;Sexo;Ano;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.);População
430003;Aceguá;Mulheres;2024;14;676.33;538.83;2070
430003;Aceguá;Mulheres;2025;16;772.95;630.69;2070
430005;Água Santa;Ambos;2000;19;502.78;669.22;3779
430005;Água Santa;Ambos;2001;19;503.04;690.22;3777
430005;Água Santa;Ambos;2002;18;475.81;620.98;3783
430005;Água Santa;Ambos;2003;20;528.4;667.12;3785
430005;Água Santa;Ambos;2004;18;475.56;593.02;3785
430005;Água Santa;Ambos;2005;19;502.65;626.28;3780
430005;Água Santa;Ambos;2006;12;317.54;387.11;3779
430005;Água Santa;Ambos;2007;23;610.08;703.23;3770
430005;Água Santa;Ambos;2008;27;716.56;808.54;3768
430005;Água Santa;Ambos;2009;23;611.21;662.15;3763
430005;Água Santa;Ambos;2010;14;371.94;413.36;3764
430005;Água Santa;Ambos;2011;20;530.79;560.48;3768
430005;Água Santa;Ambos;2012;18;476.32;492.07;3779
430005;Água Santa;Ambos;2013;19;499.74;502.13;3802
430005;Água Santa;Ambos;2014;23;601.31;599.87;3825
430005;Água Santa;Ambos;2015;18;467.78;448.74;3848
430005;Água Santa;Ambos;2016;27;696.24;659.4;3878
430005;Água Santa;Ambos;2017;31;793.45;738.53;3907
430005;Água Santa;Ambos;2018;12;306.44;284.04;3916
430005;Água Santa;Ambos;2019;12;304.8;269.31;3937
430005;Água Santa;Ambos;2020;27;681.47;623.3;3962
430005;Água Santa;Ambos;2021;33;831.65;687.42;3968
430005;Água Santa;Ambos;2022;29;727.73;621.14;3985
430005;Água Santa;Ambos;2023;33;831.23;676.29;3970
430005;Água Santa;Ambos;2024;28;700;571.77;4000
430005;Água Santa;Ambos;2025;22;549.59;442.29;4003
430005;Água Santa;Homens;2000;15;785.34;1138.58;1910
430005;Água Santa;Homens;2001;9;471.7;641.48;1908
430005;Água Santa;Homens;2002;10;522.47;799.59;1914
430005;Água Santa;Homens;2003;9;470.22;582.26;1914
430005;Água Santa;Homens;2004;11;574.41;720.62;1915
430005;Água Santa;Homens;2005;15;784.52;1086.77;1912
430005;Água Santa;Homens;2006;6;314.3;424.44;1909
430005;Água Santa;Homens;2007;17;892.86;1046.78;1904
430005;Água Santa;Homens;2008;19;998.95;1184.47;1902
430005;Água Santa;Homens;2009;13;685.29;810.01;1897
430005;Água Santa;Homens;2010;6;317.12;359.04;1892
430005;Água Santa;Homens;2011;18;948.37;1126.62;1898
430005;Água Santa;Homens;2012;12;631.91;681.34;1899
430005;Água Santa;Homens;2013;13;681.34;761.97;1908
430005;Água Santa;Homens;2014;9;468.99;496.9;1919
430005;Água Santa;Homens;2015;12;622.41;650.98;1928
430005;Água Santa;Homens;2016;12;618.56;645.89;1940
430005;Água Santa;Homens;2017;14;717.95;688.32;1950
430005;Água Santa;Homens;2018;5;256.15;259.86;1952
430005;Água Santa;Homens;2019;3;153.37;135.31;1956
430005;Água Santa;Homens;2020;20;1016.26;998.61;1968
430005;Água Santa;Homens;2021;22;1119.02;994.52;1966
430005;Água Santa;Homens;2022;15;759.88;698.25;1974
430005;Água Santa;Homens;2023;16;815.49;713.06;1962
430005;Água Santa;Homens;2024;20;1010.61;925.11;1979
430005;Água Santa;Homens;2025;12;606.67;551.71;1978
430005;Água Santa;Mulheres;2000;4;214.02;278.93;1869
430005;Água Santa;Mulheres;2001;10;535.05;704.67;1869
430005;Água Santa;Mulheres;2002;8;428.04;510.05;1869
430005;Água Santa;Mulheres;2003;11;587.92;703.14;1871
430005;Água Santa;Mulheres;2004;7;374.33;461.16;1870
430005;Água Santa;Mulheres;2005;4;214.13;241.9;1868
430005;Água Santa;Mulheres;2006;6;320.86;345.99;1870
430005;Água Santa;Mulheres;2007;6;321.54;365.66;1866
430005;Água Santa;Mulheres;2008;8;428.72;449.41;1866
430005;Água Santa;Mulheres;2009;10;535.91;568.97;1866
430005;Água Santa;Mulheres;2010;8;427.35;435.35;1872
430005;Água Santa;Mulheres;2011;2;106.95;108.93;1870
430005;Água Santa;Mulheres;2012;6;319.15;308.8;1880
430005;Água Santa;Mulheres;2013;6;316.79;285.85;1894
430005;Água Santa;Mulheres;2014;14;734.52;676.23;1906
430005;Água Santa;Mulheres;2015;6;312.5;275.52;1920
430005;Água Santa;Mulheres;2016;15;773.99;661.33;1938
