Território;Nome do território;Sexo;Ano;Tipo de causa externa;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
RS;Rio Grande do Sul;Homens;2010;Lesão autoprovocada;831;16.8;17.85
RS;Rio Grande do Sul;Homens;2010;Demais causas externas;470;8.88;9.13
RS;Rio Grande do Sul;Homens;2011;Lesão de trânsito;1707;32.17;32.57
RS;Rio Grande do Sul;Homens;2011;Agressão;1850;34.87;33.88
RS;Rio Grande do Sul;Homens;2011;Causas acidentais;952;17.94;19.49
RS;Rio Grande do Sul;Homens;2011;Lesão autoprovocada;832;16.76;17.78
RS;Rio Grande do Sul;Homens;2011;Demais causas externas;389;7.33;7.5
RS;Rio Grande do Sul;Homens;2012;Lesão de trânsito;1661;31.21;31.46
RS;Rio Grande do Sul;Homens;2012;Agressão;2117;39.78;38.82
RS;Rio Grande do Sul;Homens;2012;Causas acidentais;960;18.04;19.26
RS;Rio Grande do Sul;Homens;2012;Lesão autoprovocada;939;18.86;19.85
RS;Rio Grande do Sul;Homens;2012;Demais causas externas;393;7.38;7.59
RS;Rio Grande do Sul;Homens;2013;Lesão de trânsito;1645;30.8;31.12
RS;Rio Grande do Sul;Homens;2013;Agressão;2100;39.32;38.46
RS;Rio Grande do Sul;Homens;2013;Causas acidentais;1151;21.55;22.73
RS;Rio Grande do Sul;Homens;2013;Lesão autoprovocada;896;17.93;18.59
RS;Rio Grande do Sul;Homens;2013;Demais causas externas;287;5.37;5.54
RS;Rio Grande do Sul;Homens;2014;Lesão de trânsito;1639;30.57;30.91
RS;Rio Grande do Sul;Homens;2014;Agressão;2460;45.88;45.22
RS;Rio Grande do Sul;Homens;2014;Causas acidentais;1020;19.02;20.06
RS;Rio Grande do Sul;Homens;2014;Lesão autoprovocada;876;17.48;17.85
RS;Rio Grande do Sul;Homens;2014;Demais causas externas;365;6.81;6.91
RS;Rio Grande do Sul;Homens;2015;Lesão de trânsito;1435;26.66;26.74
RS;Rio Grande do Sul;Homens;2015;Agressão;2637;48.99;48.04
RS;Rio Grande do Sul;Homens;2015;Causas acidentais;1011;18.78;19.78
RS;Rio Grande do Sul;Homens;2015;Lesão autoprovocada;908;18.07;18.35
RS;Rio Grande do Sul;Homens;2015;Demais causas externas;276;5.13;5.05
RS;Rio Grande do Sul;Homens;2016;Lesão de trânsito;1435;26.57;26.68
RS;Rio Grande do Sul;Homens;2016;Agressão;2876;53.25;52.64
RS;Rio Grande do Sul;Homens;2016;Causas acidentais;1169;21.65;22.91
RS;Rio Grande do Sul;Homens;2016;Lesão autoprovocada;925;18.35;18.46
RS;Rio Grande do Sul;Homens;2016;Demais causas externas;314;5.81;5.79
RS;Rio Grande do Sul;Homens;2017;Lesão de trânsito;1451;26.8;26.73
RS;Rio Grande do Sul;Homens;2017;Agressão;2978;55;54.31
RS;Rio Grande do Sul;Homens;2017;Causas acidentais;1167;21.55;22.28
RS;Rio Grande do Sul;Homens;2017;Lesão autoprovocada;1080;21.37;21.37
RS;Rio Grande do Sul;Homens;2017;Demais causas externas;184;3.4;3.35
RS;Rio Grande do Sul;Homens;2018;Lesão de trânsito;1382;25.47;25.28
RS;Rio Grande do Sul;Homens;2018;Agressão;2409;44.39;44.08
RS;Rio Grande do Sul;Homens;2018;Causas acidentais;1116;20.56;21.08
RS;Rio Grande do Sul;Homens;2018;Lesão autoprovocada;985;19.45;19.26
RS;Rio Grande do Sul;Homens;2018;Demais causas externas;289;5.33;5.21
RS;Rio Grande do Sul;Homens;2019;Lesão de trânsito;1328;24.41;24.14
RS;Rio Grande do Sul;Homens;2019;Agressão;1928;35.44;35.42
RS;Rio Grande do Sul;Homens;2019;Causas acidentais;1184;21.77;22
RS;Rio Grande do Sul;Homens;2019;Lesão autoprovocada;1141;22.45;22.03
RS;Rio Grande do Sul;Homens;2019;Demais causas externas;253;4.65;4.52
RS;Rio Grande do Sul;Homens;2020;Lesão de trânsito;1295;23.75;23.41
RS;Rio Grande do Sul;Homens;2020;Agressão;1870;34.3;34.48
RS;Rio Grande do Sul;Homens;2020;Causas acidentais;1068;19.59;19.41
RS;Rio Grande do Sul;Homens;2020;Lesão autoprovocada;1132;22.19;21.7
RS;Rio Grande do Sul;Homens;2020;Demais causas externas;250;4.59;4.14
RS;Rio Grande do Sul;Homens;2021;Lesão de trânsito;1372;25.16;24.82
RS;Rio Grande do Sul;Homens;2021;Agressão;1641;30.09;30.38
RS;Rio Grande do Sul;Homens;2021;Causas acidentais;1270;23.29;22.98
RS;Rio Grande do Sul;Homens;2021;Lesão autoprovocada;1213;23.73;23.12
RS;Rio Grande do Sul;Homens;2021;Demais causas externas;299;5.48;5.22
RS;Rio Grande do Sul;Homens;2022;Lesão de trânsito;1430;26.25;25.72
RS;Rio Grande do Sul;Homens;2022;Agressão;1712;31.42;31.71
RS;Rio Grande do Sul;Homens;2022;Causas acidentais;1224;22.47;21.56
RS;Rio Grande do Sul;Homens;2022;Lesão autoprovocada;1273;24.89;24.29
RS;Rio Grande do Sul;Homens;2022;Demais causas externas;344;6.31;6.01
RS;Rio Grande do Sul;Homens;2023;Lesão de trânsito;1403;25.75;25.04
RS;Rio Grande do Sul;Homens;2023;Agressão;1752;32.16;32.75
RS;Rio Grande do Sul;Homens;2023;Causas acidentais;1336;24.52;23.42
RS;Rio Grande do Sul;Homens;2023;Lesão autoprovocada;1315;25.66;24.94
RS;Rio Grande do Sul;Homens;2023;Demais causas externas;239;4.39;4.03
RS;Rio Grande do Sul;Homens;2024;Lesão de trânsito;1451;26.62;25.76
RS;Rio Grande do Sul;Homens;2024;Agressão;1496;27.44;28.07
RS;Rio Grande do Sul;Homens;2024;Causas acidentais;1528;28.03;26.15
RS;Rio Grande do Sul;Homens;2024;Lesão autoprovocada;1219;23.73;22.94
RS;Rio Grande do Sul;Homens;2024;Demais causas externas;266;4.88;4.52
RS;Rio Grande do Sul;Homens;2025;Lesão de trânsito;1372;25.17;24.5
RS;Rio Grande do Sul;Homens;2025;Agressão;1064;19.52;19.99
RS;Rio Grande do Sul;Homens;2025;Causas acidentais;1347;24.71;22.7
RS;Rio Grande do Sul;Homens;2025;Lesão autoprovocada;1126;21.88;21.04
RS;Rio Grande do Sul;Homens;2025;Demais causas externas;367;6.73;6.23
RS;Rio Grande do Sul;Mulheres;2000;Lesão de trânsito;386;7.35;7.65
RS;Rio Grande do Sul;Mulheres;2000;Agressão;174;3.31;3.38
RS;Rio Grande do Sul;Mulheres;2000;Causas acidentais;323;6.15;6.23
RS;Rio Grande do Sul;Mulheres;2000;Lesão autoprovocada;190;3.93;4.38
RS;Rio Grande do Sul;Mulheres;2000;Demais causas externas;168;3.2;3.63
RS;Rio Grande do Sul;Mulheres;2001;Lesão de trânsito;351;6.62;6.94
RS;Rio Grande do Sul;Mulheres;2001;Agressão;180;3.4;3.41
RS;Rio Grande do Sul;Mulheres;2001;Causas acidentais;254;4.79;5.04
RS;Rio Grande do Sul;Mulheres;2001;Lesão autoprovocada;175;3.58;3.77
RS;Rio Grande do Sul;Mulheres;2001;Demais causas externas;155;2.92;3.31
RS;Rio Grande do Sul;Mulheres;2002;Lesão de trânsito;425;7.96;8.27
RS;Rio Grande do Sul;Mulheres;2002;Agressão;198;3.71;3.75
RS;Rio Grande do Sul;Mulheres;2002;Causas acidentais;321;6.01;6.38
RS;Rio Grande do Sul;Mulheres;2002;Lesão autoprovocada;189;3.83;4.03
RS;Rio Grande do Sul;Mulheres;2002;Demais causas externas;186;3.48;3.87
RS;Rio Grande do Sul;Mulheres;2003;Lesão de trânsito;477;8.87;9.17
RS;Rio Grande do Sul;Mulheres;2003;Agressão;177;3.29;3.27
RS;Rio Grande do Sul;Mulheres;2003;Causas acidentais;318;5.91;6.2
RS;Rio Grande do Sul;Mulheres;2003;Lesão autoprovocada;192;3.85;4.06
RS;Rio Grande do Sul;Mulheres;2003;Demais causas externas;169;3.14;3.36
RS;Rio Grande do Sul;Mulheres;2004;Lesão de trânsito;416;7.68;7.86
RS;Rio Grande do Sul;Mulheres;2004;Agressão;195;3.6;3.56
RS;Rio Grande do Sul;Mulheres;2004;Causas acidentais;309;5.7;5.88
RS;Rio Grande do Sul;Mulheres;2004;Lesão autoprovocada;189;3.76;3.9
RS;Rio Grande do Sul;Mulheres;2004;Demais causas externas;156;2.88;3.02
RS;Rio Grande do Sul;Mulheres;2005;Lesão de trânsito;399;7.32;7.53
RS;Rio Grande do Sul;Mulheres;2005;Agressão;209;3.83;3.81
RS;Rio Grande do Sul;Mulheres;2005;Causas acidentais;302;5.54;5.65
RS;Rio Grande do Sul;Mulheres;2005;Lesão autoprovocada;173;3.41;3.56
RS;Rio Grande do Sul;Mulheres;2005;Demais causas externas;148;2.71;2.83
RS;Rio Grande do Sul;Mulheres;2006;Lesão de trânsito;389;7.09;7.19
RS;Rio Grande do Sul;Mulheres;2006;Agressão;162;2.95;2.91
RS;Rio Grande do Sul;Mulheres;2006;Causas acidentais;337;6.14;6.21
RS;Rio Grande do Sul;Mulheres;2006;Lesão autoprovocada;208;4.07;4.22
RS;Rio Grande do Sul;Mulheres;2006;Demais causas externas;161;2.94;3.04
RS;Rio Grande do Sul;Mulheres;2007;Lesão de trânsito;367;6.66;6.73
RS;Rio Grande do Sul;Mulheres;2007;Agressão;193;3.5;3.49
RS;Rio Grande do Sul;Mulheres;2007;Causas acidentais;392;7.11;7.09
RS;Rio Grande do Sul;Mulheres;2007;Lesão autoprovocada;221;4.29;4.39
RS;Rio Grande do Sul;Mulheres;2007;Demais causas externas;224;4.06;4.1
RS;Rio Grande do Sul;Mulheres;2008;Lesão de trânsito;423;7.64;7.64
RS;Rio Grande do Sul;Mulheres;2008;Agressão;219;3.95;3.93
RS;Rio Grande do Sul;Mulheres;2008;Causas acidentais;354;6.39;6.27
